18:07:00 ~ 18:07:02	那這樣我今天準備一份簡報
18:35:16 ~ 18:35:18	他是110年的
18:35:18 ~ 18:35:19	這個是
18:35:19 ~ 18:35:20	3年
18:35:20 ~ 18:35:21	我記得
18:35:21 ~ 18:35:22	不是101啦
18:35:22 ~ 18:35:22	你開始
18:35:22 ~ 18:35:23	不是101啊
18:35:23 ~ 18:35:24	對
18:35:24 ~ 18:35:25	這個
18:35:25 ~ 18:35:26	這個
18:35:26 ~ 18:35:27	這個
18:35:27 ~ 18:35:29	怎麼會101
18:35:29 ~ 18:35:30	1010年
18:35:30 ~ 18:35:32	不知道在哪裡
18:35:32 ~ 18:35:33	1010年
18:35:33 ~ 18:35:34	去年
18:35:34 ~ 18:35:35	去年的計畫
18:35:35 ~ 18:35:36	去年計畫
18:35:36 ~ 18:35:37	對
18:35:37 ~ 18:35:38	是110
18:35:38 ~ 18:35:39	然後
18:35:39 ~ 18:35:40	然後
18:35:40 ~ 18:35:41	蕭酸
18:35:41 ~ 18:35:42	蕭酸跟你
18:35:42 ~ 18:35:43	你
18:35:43 ~ 18:35:44	你的化學國あ
18:35:44 ~ 18:35:46	都不會寫
18:35:47 ~ 18:35:48	然後
18:35:48 ~ 18:35:49	你跟
18:35:49 ~ 18:35:50	你
18:35:50 ~ 18:35:52	你
18:35:52 ~ 18:35:53	什麼
18:35:53 ~ 18:35:54	兩切
18:35:54 ~ 18:35:57	蕭酸跟
18:35:57 ~ 18:35:58	是NO3
18:35:58 ~ 18:36:00	不是NO3
18:36:00 ~ 18:36:01	NO3還是
18:36:01 ~ 18:36:02	蕭酸
18:36:02 ~ 18:36:03	對
18:36:03 ~ 18:36:04	是NO3
18:36:04 ~ 18:36:05	是NO3
18:36:05 ~ 18:36:06	是NO3
18:36:06 ~ 18:36:08	沒有出
18:36:08 ~ 18:36:09	所以
18:36:09 ~ 18:36:10	這個是
18:36:10 ~ 18:36:11	很明顯的錯誤
18:36:11 ~ 18:36:12	不應該發生
18:36:12 ~ 18:36:15	好吧
18:36:15 ~ 18:36:16	大概就是
18:36:16 ~ 18:36:18	就是這樣
18:36:18 ~ 18:36:19	這種東西
18:36:19 ~ 18:36:20	都應該自己發現
18:36:20 ~ 18:36:21	不是
18:36:21 ~ 18:36:23	不是讓老師來挑錯字
18:36:23 ~ 18:36:24	好
18:36:24 ~ 18:36:25	不好意思
18:36:25 ~ 18:36:26	好
18:36:26 ~ 18:36:28	那就
18:36:28 ~ 18:36:30	大概就是這樣
18:36:30 ~ 18:36:31	有同意
18:36:31 ~ 18:36:32	同意你
18:36:32 ~ 18:36:33	同意你去
18:36:33 ~ 18:36:34	準備
18:36:34 ~ 18:36:35	這個課
18:36:35 ~ 18:36:36	對
18:36:36 ~ 18:36:37	那
18:36:37 ~ 18:36:38	因為
18:36:38 ~ 18:36:39	大家老師們的時間
18:36:39 ~ 18:36:40	湊不起來
18:36:40 ~ 18:36:41	所以不好意思
18:36:41 ~ 18:36:42	我們分兩次
18:36:42 ~ 18:36:44	來開這個會
18:36:44 ~ 18:36:45	他
18:36:45 ~ 18:36:46	他另外一場是
18:36:46 ~ 18:36:47	明天晚上
18:36:47 ~ 18:36:49	跟其他
18:36:49 ~ 18:36:50	還有世衛老師
18:36:50 ~ 18:36:51	還
18:36:51 ~ 18:36:52	還要再
18:36:52 ~ 18:36:54	再討論一下
18:36:54 ~ 18:36:56	我覺得這個主題
18:36:56 ~ 18:36:57	還滿不錯的
18:36:57 ~ 18:36:58	加油
18:36:58 ~ 18:36:59	題目
18:36:59 ~ 18:37:00	這個
18:37:00 ~ 18:37:01	真正的
18:37:01 ~ 18:37:02	大概就是內容
18:37:02 ~ 18:37:03	方向
18:37:03 ~ 18:37:04	題目
18:37:04 ~ 18:37:05	題目名字
18:37:05 ~ 18:37:06	後面
18:37:06 ~ 18:37:07	好
18:37:07 ~ 18:37:09	好
18:37:09 ~ 18:37:10	那就
18:37:10 ~ 18:37:11	謝謝
18:37:11 ~ 18:37:12	老師
18:37:12 ~ 18:37:13	是不是
18:37:13 ~ 18:37:14	還要到時候
18:37:14 ~ 18:37:15	你要跟
18:37:15 ~ 18:37:16	我會申請的時候
18:37:16 ~ 18:37:18	要有一夜的那個
18:37:18 ~ 18:37:19	那個申請書
18:37:19 ~ 18:37:21	是不是要簽名
18:37:21 ~ 18:37:22	大概
18:37:22 ~ 18:37:23	跟我們要時間
18:37:23 ~ 18:37:24	簽名那個
18:37:24 ~ 18:37:25	細上的老師
18:37:25 ~ 18:37:26	比較容易找
18:37:26 ~ 18:37:27	這個
18:37:27 ~ 18:37:28	比較不是問題
18:37:28 ~ 18:37:30	我
18:37:30 ~ 18:37:31	我盡快
18:37:31 ~ 18:37:32	我就
18:37:32 ~ 18:37:33	我盡快把會議記錄
18:37:33 ~ 18:37:34	做完之後在
18:37:34 ~ 18:37:35	請老師的簽名
18:37:35 ~ 18:37:36	這樣
18:37:36 ~ 18:37:37	好
18:37:37 ~ 18:37:38	那你需要
18:37:38 ~ 18:37:40	螢幕需要哈咖啡嗎
18:37:40 ~ 18:37:42	好啊
18:37:42 ~ 18:37:44	我這邊
18:37:44 ~ 18:37:45	把你的那個
18:37:45 ~ 18:37:47	放到第一夜好不好
18:37:47 ~ 18:37:49	是
18:37:49 ~ 18:37:51	你的題目的
18:37:51 ~ 18:37:52	第一夜
18:37:52 ~ 18:37:53	好
18:37:53 ~ 18:37:55	就是你的題目啊
18:37:55 ~ 18:38:00	你還是分享
18:38:00 ~ 18:38:01	畫面的時候
18:38:01 ~ 18:38:03	然後我們三個人的
18:38:03 ~ 18:38:05	頭像都有在下面
18:38:05 ~ 18:38:07	會演螢幕的時候
18:38:07 ~ 18:38:09	你的第一夜這樣
18:38:09 ~ 18:38:12	你再接
18:38:12 ~ 18:38:14	演幾畫面
18:38:14 ~ 18:38:15	頭
18:38:15 ~ 18:38:16	對
18:38:16 ~ 18:38:17	對
18:38:17 ~ 18:38:18	對
18:38:18 ~ 18:38:20	對
18:38:20 ~ 18:38:21	我這邊沒有
18:38:21 ~ 18:38:22	因為我只有一個螢幕
18:38:22 ~ 18:38:24	所以我沒辦法
18:38:24 ~ 18:38:25	工作
18:38:25 ~ 18:38:27	所以你沒辦法
18:38:27 ~ 18:38:28	看到
18:38:28 ~ 18:38:30	那你就在播放
18:38:30 ~ 18:38:33	我們三個畫面
18:38:33 ~ 18:38:35	你上不來的
18:38:35 ~ 18:38:38	你看不到你自己嗎
18:38:38 ~ 18:38:39	我看不到
18:38:39 ~ 18:38:40	大家在
18:38:40 ~ 18:38:41	就是在
18:38:41 ~ 18:38:42	整個在
18:38:42 ~ 18:38:44	會議的那個畫面上
18:38:44 ~ 18:38:46	那我這邊如果只是播放好
18:38:46 ~ 18:38:47	就只能看到我
18:38:47 ~ 18:38:48	檢報的話
18:38:48 ~ 18:38:49	你
18:38:49 ~ 18:38:50	為什麼
18:38:50 ~ 18:38:51	你可以
18:38:51 ~ 18:38:54	你可能
18:38:54 ~ 18:38:55	超可能的
18:38:55 ~ 18:38:56	還是有問題
18:38:56 ~ 18:38:57	是可以
18:38:57 ~ 18:38:58	可以出現的
18:38:58 ~ 18:39:00	不然我幫你拍照好了
18:39:00 ~ 18:39:01	我到時候提電力好了
18:39:01 ~ 18:39:03	那也可以
18:39:03 ~ 18:39:05	那你自己
18:39:05 ~ 18:39:07	你自己等一下
18:39:07 ~ 18:39:09	少元
18:39:09 ~ 18:39:11	頭像我這邊看不到
18:39:11 ~ 18:39:12	我看得到
18:39:12 ~ 18:39:13	三個
18:39:13 ~ 18:39:15	現在三個的頭像我都看得到
18:39:15 ~ 18:39:17	你都看得到
18:39:17 ~ 18:39:19	如果用IPAD Pro
18:39:19 ~ 18:39:24	我等一下
18:39:24 ~ 18:39:25	我等一下
18:39:25 ~ 18:39:26	這幾給你
18:39:26 ~ 18:39:27	不過我
18:39:27 ~ 18:39:28	我等一下
18:39:28 ~ 18:39:29	我先照顧我
18:39:29 ~ 18:39:30	吃飯
18:39:30 ~ 18:39:31	我等一下
18:39:31 ~ 18:39:32	我如果忘記去給你的時候
18:39:32 ~ 18:39:34	你就再跟我講好不好
18:39:34 ~ 18:39:35	好的
18:39:35 ~ 18:39:36	謝謝
18:39:36 ~ 18:39:37	好謝謝
18:39:37 ~ 18:39:38	謝謝
18:39:38 ~ 18:39:40	少元你等一下
18:39:40 ~ 18:39:41	我再跟你討論一下
18:39:41 ~ 18:39:42	好那我先謝謝
18:39:42 ~ 18:39:43	謝謝
18:39:43 ~ 18:39:44	謝謝
18:39:44 ~ 18:39:46	好
18:39:46 ~ 18:39:47	那對
18:39:47 ~ 18:39:49	你再播放一下
18:39:49 ~ 18:39:51	好
18:39:53 ~ 18:39:54	好
18:40:02 ~ 18:40:03	好的
18:40:03 ~ 18:40:05	可以有拍到畫面嗎
18:40:05 ~ 18:40:07	沒有播放啊
18:40:07 ~ 18:40:09	可以
18:40:15 ~ 18:40:17	好
18:40:17 ~ 18:40:19	好
18:40:19 ~ 18:40:20	好
18:40:20 ~ 18:40:21	有拍
18:40:21 ~ 18:40:22	好
18:40:22 ~ 18:40:23	下一
18:40:27 ~ 18:40:29	再來
18:40:30 ~ 18:40:31	好
18:40:36 ~ 18:40:37	好
18:40:37 ~ 18:40:38	再來
18:40:38 ~ 18:40:39	好
18:40:39 ~ 18:40:41	再來
18:40:45 ~ 18:40:46	好
18:40:46 ~ 18:40:47	再來
18:40:54 ~ 18:40:56	你那個
18:40:57 ~ 18:40:58	水盒子
18:40:58 ~ 18:40:59	那個2018後面
18:40:59 ~ 18:41:01	有一個小顆豆
18:41:01 ~ 18:41:02	這表示這個東西
18:41:02 ~ 18:41:04	還有在用的
18:41:04 ~ 18:41:05	對
18:41:05 ~ 18:41:06	對
18:41:06 ~ 18:41:07	那它有持續在改版當中
18:41:07 ~ 18:41:10	前面的跟後面的那兩個
18:41:10 ~ 18:41:12	都只有一年
18:41:12 ~ 18:41:14	那這表示
18:41:14 ~ 18:41:15	就結束了
18:41:15 ~ 18:41:16	好
18:41:16 ~ 18:41:18	水沙盒
18:41:18 ~ 18:41:20	因為水沙盒的設備
18:41:20 ~ 18:41:21	是已經
18:41:21 ~ 18:41:22	跟
18:41:22 ~ 18:41:24	那是跟中心工程的顧問設
18:41:24 ~ 18:41:25	一起合作的
18:41:25 ~ 18:41:27	那它們現在其實開發完之後
18:41:27 ~ 18:41:29	它們現在就是到處放
18:41:29 ~ 18:41:30	場域那邊
18:41:30 ~ 18:41:31	那我這邊開發的工作
18:41:31 ~ 18:41:32	就已經結束了
18:41:32 ~ 18:41:34	那它們就是按照我之前開發的
18:41:34 ~ 18:41:35	內容去
18:41:35 ~ 18:41:37	收集資料這樣
18:41:37 ~ 18:41:38	那
18:41:38 ~ 18:41:39	SZ
18:41:39 ~ 18:41:40	那
18:41:40 ~ 18:41:41	企業家站的部分也是
18:41:41 ~ 18:41:42	就是我開發完之後
18:41:42 ~ 18:41:45	你這個是不是要稍微說明一下
18:41:45 ~ 18:41:48	你的水沙盒裡面是什麼東西
18:41:48 ~ 18:41:49	水
18:41:49 ~ 18:41:51	然後它是監測哪些東西
18:41:51 ~ 18:41:53	水盒子是監測哪些東西
18:41:53 ~ 18:41:54	你的氣象站
18:41:54 ~ 18:41:56	裡面又有什麼東西
18:41:56 ~ 18:41:58	稍微要提一下
18:41:58 ~ 18:42:00	好
18:42:00 ~ 18:42:01	好
18:42:01 ~ 18:42:02	好
18:42:02 ~ 18:42:03	那我再把它
18:42:03 ~ 18:42:04	其實在
18:42:04 ~ 18:42:05	在下面
18:42:05 ~ 18:42:06	在補一行去把監測
18:42:06 ~ 18:42:07	加木把放進來
18:42:07 ~ 18:42:08	這樣
18:42:08 ~ 18:42:09	對
18:42:09 ~ 18:42:11	然後下面那個
18:42:11 ~ 18:42:12	發明專利裡面
18:42:12 ~ 18:42:13	你有
18:42:13 ~ 18:42:14	有英文的
18:42:14 ~ 18:42:15	那英文
18:42:15 ~ 18:42:17	不需要每個日都大寫
18:42:17 ~ 18:42:19	好
18:42:19 ~ 18:42:21	因為這個我是看專利
18:42:21 ~ 18:42:23	你下面有
18:42:23 ~ 18:42:25	下面也有的是
18:42:25 ~ 18:42:27	有英文嗎
18:42:27 ~ 18:42:28	對
18:42:28 ~ 18:42:30	那個英文就正常
18:42:30 ~ 18:42:31	第一個字大寫
18:42:31 ~ 18:42:32	其他並沒有
18:42:32 ~ 18:42:34	是上面那個
18:42:34 ~ 18:42:37	Indoair pollution analysis system
18:42:37 ~ 18:42:38	and massage
18:42:38 ~ 18:42:39	那個
18:42:39 ~ 18:42:41	那個不需要
18:42:41 ~ 18:42:43	不需要每個字都大寫
18:42:43 ~ 18:42:45	好
18:42:45 ~ 18:42:46	那我再
18:42:46 ~ 18:42:47	證一下
18:42:47 ~ 18:42:48	這個再修改一下
18:42:48 ~ 18:42:49	對
18:42:49 ~ 18:42:51	好
18:42:51 ~ 18:42:53	再來
18:43:01 ~ 18:43:02	那這個
18:43:02 ~ 18:43:03	能夠問其實
18:43:03 ~ 18:43:04	水和子
18:43:04 ~ 18:43:05	跟這個氣象站
18:43:05 ~ 18:43:06	都是
18:43:06 ~ 18:43:08	一樣的架構
18:43:08 ~ 18:43:09	所以它都是
18:43:09 ~ 18:43:10	有箱
18:43:10 ~ 18:43:11	對
18:43:11 ~ 18:43:12	它都有箱統的刻度
18:43:12 ~ 18:43:13	你下面的
18:43:13 ~ 18:43:15	那些寫法
18:43:15 ~ 18:43:16	就是說
18:43:16 ~ 18:43:18	750秒
18:43:18 ~ 18:43:20	你那個秒
18:43:20 ~ 18:43:21	秒用S就好了
18:43:21 ~ 18:43:23	不需要用S1C
18:43:23 ~ 18:43:24	然後
18:43:24 ~ 18:43:26	跟前面的數字
18:43:26 ~ 18:43:28	要控一個
18:43:28 ~ 18:43:32	你所有的單位
18:43:32 ~ 18:43:35	跟數字中間都要控的
18:43:35 ~ 18:43:36	像5MA
18:43:36 ~ 18:43:38	20MW
18:43:38 ~ 18:43:40	像這些
18:43:40 ~ 18:43:42	對
18:43:44 ~ 18:43:47	然後你那個約
18:43:47 ~ 18:43:49	約後面那個5MA
18:43:49 ~ 18:43:50	怎麼後面中間
18:43:50 ~ 18:43:52	又有一點
18:43:52 ~ 18:43:54	那有的又沒有點
18:43:54 ~ 18:43:56	你怎麼不可能是
18:43:56 ~ 18:43:57	數字
18:43:57 ~ 18:43:59	它是數字
18:43:59 ~ 18:44:00	因為就是以電池的
18:44:00 ~ 18:44:01	從放電來講
18:44:01 ~ 18:44:02	如果是從電的話
18:44:02 ~ 18:44:04	它是正電流
18:44:04 ~ 18:44:04	
18:44:04 ~ 18:44:06	所以我是以不電流表覆
18:44:06 ~ 18:44:07	對
18:44:07 ~ 18:44:09	那你這樣的話
18:44:09 ~ 18:44:11	這個是放電
18:44:11 ~ 18:44:12	公號
18:44:12 ~ 18:44:13	公號
18:44:13 ~ 18:44:15	為什麼就不付的
18:44:17 ~ 18:44:19	公號它本身只是一個
18:44:19 ~ 18:44:20	它只有付的
18:44:20 ~ 18:44:22	它不會
18:44:22 ~ 18:44:23	它不會
18:44:23 ~ 18:44:24	因為它公號只有
18:44:24 ~ 18:44:26	消耗能量
18:44:26 ~ 18:44:27	所以它就只有
18:44:27 ~ 18:44:28	正值
18:44:28 ~ 18:44:29	它不會
18:44:29 ~ 18:44:30	它不會產生
18:44:30 ~ 18:44:32	它不會產生能量
18:44:32 ~ 18:44:34	所以它只有一個
18:44:34 ~ 18:44:36	它只有一個單位而已
18:44:36 ~ 18:44:37	所以它只有
18:44:37 ~ 18:44:39	正值這樣子
18:44:39 ~ 18:44:40	那電流不弄
18:44:40 ~ 18:44:41	我是希望能表示說
18:44:41 ~ 18:44:42	其實
18:44:42 ~ 18:44:44	我在放電過程
18:44:44 ~ 18:44:45	放電的過程中
18:44:45 ~ 18:44:47	它是可以
18:44:47 ~ 18:44:48	非常省電的
18:44:48 ~ 18:44:50	但是在你圖上
18:44:50 ~ 18:44:51	你圖上
18:44:51 ~ 18:44:53	它並沒有顯示負號
18:44:53 ~ 18:44:54	而是像
18:44:54 ~ 18:44:55	下面
18:44:55 ~ 18:44:56	不是
18:44:56 ~ 18:44:57	最下面那個
18:44:57 ~ 18:44:58	電池
18:44:58 ~ 18:44:59	電流放電
18:44:59 ~ 18:45:00	對
18:45:00 ~ 18:45:01	對
18:45:01 ~ 18:45:02	聽到這個
18:45:02 ~ 18:45:03	臨時在這個位置
18:45:03 ~ 18:45:04	對啊
18:45:04 ~ 18:45:05	你那個
18:45:05 ~ 18:45:06	表示你這個
18:45:06 ~ 18:45:07	目標走
18:45:07 ~ 18:45:08	目標走
18:45:08 ~ 18:45:09	目標走
18:45:09 ~ 18:45:10	對了
18:45:12 ~ 18:45:13	那我把
18:45:13 ~ 18:45:14	反正你這個
18:45:14 ~ 18:45:15	對
18:45:15 ~ 18:45:16	OK
18:45:16 ~ 18:45:17	因為你既然你
18:45:17 ~ 18:45:18	你放電要用
18:45:18 ~ 18:45:19	副的表示
18:45:19 ~ 18:45:20	你在這個
18:45:20 ~ 18:45:21	圖上
18:45:21 ~ 18:45:22	就應該要
18:45:22 ~ 18:45:24	要看出來
18:45:24 ~ 18:45:25	你目前
18:45:25 ~ 18:45:27	這個是看不出來
18:45:27 ~ 18:45:28	好
18:45:28 ~ 18:45:29	再來
18:45:31 ~ 18:45:32	那像這邊
18:45:32 ~ 18:45:33	就是
18:45:33 ~ 18:45:34	連續運作
18:45:34 ~ 18:45:35	所以它白天
18:45:35 ~ 18:45:35	
18:45:35 ~ 18:45:36	它會重電
18:45:36 ~ 18:45:37	這時候
18:45:37 ~ 18:45:38	它的電流就是會
18:45:38 ~ 18:45:39	會很正
18:45:39 ~ 18:45:43	對
18:45:44 ~ 18:45:45	正常它電源
18:45:45 ~ 18:45:46	有更的上去
18:45:46 ~ 18:45:47	好像中間
18:45:47 ~ 18:45:48	這邊
18:45:48 ~ 18:45:49	因為你這個
18:45:49 ~ 18:45:50	這個
18:45:50 ~ 18:45:51	下面
18:45:51 ~ 18:45:52	那個
18:45:52 ~ 18:45:54	內部看不太清楚了
18:45:54 ~ 18:45:56	充電電流
18:45:56 ~ 18:45:57	是
18:45:57 ~ 18:45:58	那個
18:45:58 ~ 18:45:58	
18:45:58 ~ 18:45:59	納到
18:45:59 ~ 18:46:00	上面去
18:46:00 ~ 18:46:01	電池電壓
18:46:04 ~ 18:46:05	所以
18:46:05 ~ 18:46:06	黃色的那個
18:46:06 ~ 18:46:07	是電流
18:46:07 ~ 18:46:08	對
18:46:08 ~ 18:46:09	所以
18:46:09 ~ 18:46:10	有臨
18:46:10 ~ 18:46:11	然後
18:46:11 ~ 18:46:12	有副的
18:46:12 ~ 18:46:15	那是在
18:46:15 ~ 18:46:18	啪
18:46:18 ~ 18:46:20	你這樣
18:46:20 ~ 18:46:21	這樣
18:46:21 ~ 18:46:22	快快
18:46:22 ~ 18:46:23	充電電流
18:46:23 ~ 18:46:24	然後
18:46:24 ~ 18:46:25	然後
18:46:25 ~ 18:46:26	有放電嗎
18:46:26 ~ 18:46:28	對
18:46:28 ~ 18:46:29	對
18:46:29 ~ 18:46:30	充電電流
18:46:30 ~ 18:46:31	是副的
18:46:31 ~ 18:46:32	就表示它在放電
18:46:32 ~ 18:46:33	對
18:46:33 ~ 18:46:34	就是在
18:46:34 ~ 18:46:35	白天這個
18:46:35 ~ 18:46:36	這樣中間
18:46:36 ~ 18:46:37	這個它是在
18:46:37 ~ 18:46:38	白天的情況
18:46:38 ~ 18:46:39	它是因為天氣不好
18:46:39 ~ 18:46:40	天氣不好
18:46:40 ~ 18:46:41	其實對於
18:46:41 ~ 18:46:42	整個氣統來這樣
18:46:42 ~ 18:46:43	它是副
18:46:43 ~ 18:46:44	我說
18:46:44 ~ 18:46:45	我受兩道電池
18:46:45 ~ 18:46:46	它還是副的
18:46:46 ~ 18:46:47	就是你白天
18:46:47 ~ 18:46:48	為什麼那麼短
18:46:48 ~ 18:46:49	夜間黃的比較長
18:46:51 ~ 18:46:52	夜間這個嗎
18:46:52 ~ 18:46:54	夜間這個
18:46:54 ~ 18:46:56	白天
18:46:56 ~ 18:46:58	這個跟日照
18:46:58 ~ 18:47:00	就是跟它
18:47:00 ~ 18:47:01	機器放的日照的
18:47:01 ~ 18:47:02	機器放有關
18:47:02 ~ 18:47:03	因為它可能
18:47:03 ~ 18:47:04	它可能
18:47:04 ~ 18:47:05	日照角度不夠的話
18:47:05 ~ 18:47:06	其實它
18:47:06 ~ 18:47:07	電這樣
18:47:07 ~ 18:47:08	電池它
18:47:08 ~ 18:47:09	能產生的
18:47:09 ~ 18:47:10	功率其實
18:47:10 ~ 18:47:11	是不足以
18:47:11 ~ 18:47:12	卡不得到
18:47:12 ~ 18:47:13	不足以變成
18:47:13 ~ 18:47:14	正的電流
18:47:14 ~ 18:47:16	它可能會有電電
18:47:16 ~ 18:47:17	你這邊
18:47:17 ~ 18:47:18	其實是
18:47:18 ~ 18:47:19	4天的數據
18:47:19 ~ 18:47:20	但是
18:47:20 ~ 18:47:21	只有
18:47:21 ~ 18:47:22	3段
18:47:22 ~ 18:47:23	有在充電
18:47:23 ~ 18:47:24	是
18:47:24 ~ 18:47:26	3個晚上
18:47:26 ~ 18:47:28	加4個白天的數據
18:47:28 ~ 18:47:29	對
18:47:29 ~ 18:47:30	3個晚上
18:47:30 ~ 18:47:31	4個白天
18:47:31 ~ 18:47:32	對
18:47:32 ~ 18:47:33	這是
18:47:33 ~ 18:47:35	機器運作的時候
18:47:35 ~ 18:47:36	我只要手機下來接
18:47:36 ~ 18:47:37	我
18:47:37 ~ 18:47:38	它在睡眠的時候
18:47:38 ~ 18:47:39	其實都是充電的
18:47:39 ~ 18:47:40	因為它去睡眠的時候
18:47:40 ~ 18:47:41	它的
18:47:41 ~ 18:47:42	放電
18:47:42 ~ 18:47:43	大概
18:47:43 ~ 18:47:44	它放電
18:47:44 ~ 18:47:44	
18:47:44 ~ 18:47:45	附我沒有
18:47:45 ~ 18:47:46	所以
18:47:46 ~ 18:47:47	在
18:47:47 ~ 18:47:48	這邊
18:47:48 ~ 18:47:48	
18:47:48 ~ 18:47:49	是天氣不好
18:47:49 ~ 18:47:50	的情況下
18:47:50 ~ 18:47:51	對
18:47:51 ~ 18:47:52	這個其實
18:47:52 ~ 18:47:53	簡單說一說就好了
18:47:53 ~ 18:47:54	因為
18:47:54 ~ 18:47:55	你也是
18:47:55 ~ 18:47:56	過去的東西
18:47:56 ~ 18:47:58	跟
18:47:58 ~ 18:47:59	對
18:47:59 ~ 18:47:59	
18:47:59 ~ 18:48:01	你未來要做的研究
18:48:01 ~ 18:48:02	暫時
18:48:02 ~ 18:48:04	沒那麼直接相關
18:48:04 ~ 18:48:05	所以
18:48:05 ~ 18:48:07	這邊你不需要講到
18:48:07 ~ 18:48:08	太細了
18:48:08 ~ 18:48:10	OK
18:48:10 ~ 18:48:11	其實
18:48:11 ~ 18:48:12	技術上
18:48:12 ~ 18:48:13	可以打成這樣
18:48:13 ~ 18:48:16	那這個
18:48:16 ~ 18:48:18	M-O3
18:48:18 ~ 18:48:19	這個
18:48:19 ~ 18:48:20	3要下標
18:48:25 ~ 18:48:26	然後再來
18:48:29 ~ 18:48:31	110還是11
18:48:31 ~ 18:48:32	去年11
18:48:32 ~ 18:48:33	去年11
18:48:33 ~ 18:48:34	好
18:48:34 ~ 18:48:34	
18:48:34 ~ 18:48:35	這是
18:48:35 ~ 18:48:36	去年
18:48:36 ~ 18:48:36	
18:48:36 ~ 18:48:37	我問題
18:48:37 ~ 18:48:38	就是說
18:48:38 ~ 18:48:40	我記得我有想過
18:48:40 ~ 18:48:41	說要不要
18:48:41 ~ 18:48:42	把後面的實驗
18:48:42 ~ 18:48:43	因為我
18:48:43 ~ 18:48:44	我現在
18:48:44 ~ 18:48:44	
18:48:44 ~ 18:48:46	就是我可以看到
18:48:46 ~ 18:48:47	葉紋
18:48:47 ~ 18:48:48	那其實可以
18:48:48 ~ 18:48:49	去推
18:48:49 ~ 18:48:50	偵散的情況
18:48:50 ~ 18:48:51	那
18:48:51 ~ 18:48:52	是不是要
18:48:52 ~ 18:48:53	把
18:48:53 ~ 18:48:53	
18:48:53 ~ 18:48:54	的離子
18:48:54 ~ 18:48:55	變化
18:48:55 ~ 18:48:56	跟
18:48:56 ~ 18:48:57	葉紋
18:48:57 ~ 18:48:58	這邊
18:48:58 ~ 18:48:59	做一個關聯器
18:48:59 ~ 18:49:00	你如果
18:49:00 ~ 18:49:01	找得到關系
18:49:01 ~ 18:49:02	再說吧
18:49:02 ~ 18:49:03	不過
18:49:03 ~ 18:49:04	這次的報告
18:49:04 ~ 18:49:05	應該
18:49:05 ~ 18:49:06	需要
18:49:06 ~ 18:49:07	提到那麼多了
18:49:07 ~ 18:49:08	這次
18:49:08 ~ 18:49:09	你這些內容
18:49:09 ~ 18:49:10	應該就夠了
18:49:10 ~ 18:49:11	好
18:49:11 ~ 18:49:13	這先觀察這樣
18:49:13 ~ 18:49:14	對
18:49:14 ~ 18:49:16	然後你
18:49:16 ~ 18:49:17	應該還可以
18:49:17 ~ 18:49:18	提一些文獻
18:49:18 ~ 18:49:20	文獻嗎
18:49:20 ~ 18:49:21	對啊
18:49:21 ~ 18:49:23	然後那個長坡
18:49:23 ~ 18:49:24	弗社
18:49:24 ~ 18:49:26	短坡
18:49:26 ~ 18:49:27	弗社
18:49:27 ~ 18:49:28	你那個
18:49:28 ~ 18:49:30	講沒有講得很好
18:49:30 ~ 18:49:31	那至少
18:49:31 ~ 18:49:32	那四個
18:49:32 ~ 18:49:33	符號
18:49:33 ~ 18:49:35	SW
18:49:35 ~ 18:49:35	
18:49:35 ~ 18:49:37	兩個LW
18:49:37 ~ 18:49:39	然後一個L1
18:49:39 ~ 18:49:40	因為這四個
18:49:40 ~ 18:49:41	稍微可以
18:49:41 ~ 18:49:42	提起
18:49:42 ~ 18:49:43	講清楚一點
18:49:43 ~ 18:49:44	然後那個
18:49:44 ~ 18:49:45	VPDD
18:49:45 ~ 18:49:47	VPDD
18:49:47 ~ 18:49:48	你說
18:49:48 ~ 18:49:49	下面改成
18:49:49 ~ 18:49:50	Defrance
18:49:50 ~ 18:49:51	然後
18:49:51 ~ 18:49:53	VPDD
18:49:53 ~ 18:49:54	你說
18:49:54 ~ 18:49:55	VP
18:49:55 ~ 18:49:56	BaplePage
18:49:56 ~ 18:49:57	然後
18:49:57 ~ 18:49:59	上面有一個VPDD
18:49:59 ~ 18:50:00	上面那個VPD
18:50:00 ~ 18:50:02	才是VaplePage
18:50:02 ~ 18:50:03	Defuse
18:50:03 ~ 18:50:04	上面
18:50:04 ~ 18:50:05	對
18:50:05 ~ 18:50:06	上面是
18:50:06 ~ 18:50:08	下面是VPDD
18:50:08 ~ 18:50:09	Defuse
18:50:09 ~ 18:50:10	對
18:50:10 ~ 18:50:11	上面是
18:50:11 ~ 18:50:12	對
18:50:12 ~ 18:50:13	下面是
18:50:13 ~ 18:50:15	VPDD
18:50:15 ~ 18:50:16	Defuse
18:50:16 ~ 18:50:18	1R
18:50:18 ~ 18:50:19	1R
18:50:19 ~ 18:50:21	1R
18:50:21 ~ 18:50:23	1R
18:50:23 ~ 18:50:24	對
18:50:24 ~ 18:50:26	對
18:50:26 ~ 18:50:29	然後不要講
18:50:29 ~ 18:50:31	業編
18:50:31 ~ 18:50:33	業編
18:50:33 ~ 18:50:34	對
18:50:34 ~ 18:50:35	有些地方
18:50:35 ~ 18:50:36	你用業編
18:50:36 ~ 18:50:37	有些地方
18:50:37 ~ 18:50:38	你用業編
18:50:38 ~ 18:50:40	就快怪
18:50:40 ~ 18:50:42	好
