20:04:00 ~ 20:04:05	大家請問大家有看到我的簡報的話面嗎
20:39:18 ~ 20:39:19	不會比較偏高的
20:39:19 ~ 20:39:20	他剛好
20:39:20 ~ 20:39:21	跟
20:39:21 ~ 20:39:22	那個
20:39:22 ~ 20:39:22	
20:39:22 ~ 20:39:23	那CAM做的
20:39:23 ~ 20:39:24	剛剛我這個相反
20:39:24 ~ 20:39:25	那其實
20:39:25 ~ 20:39:26	這邊配走
20:39:26 ~ 20:39:27	就是兩個
20:39:27 ~ 20:39:28	完全不同的
20:39:28 ~ 20:39:29	那個
20:39:29 ~ 20:39:30	表現了
20:39:30 ~ 20:39:31	一個情況這樣
20:39:31 ~ 20:39:32	所以才是選
20:39:32 ~ 20:39:33	CAM做的
20:39:33 ~ 20:39:35	跟CAM做的這樣
20:39:35 ~ 20:39:37	基本上
20:39:37 ~ 20:39:38	燒焰的研究
20:39:38 ~ 20:39:39	還是以
20:39:39 ~ 20:39:40	硬體的開發為主
20:39:40 ~ 20:39:42	硬體的開發為主
20:39:42 ~ 20:39:43	然後
20:39:43 ~ 20:39:44	說針對
20:39:44 ~ 20:39:46	這兩個
20:39:46 ~ 20:39:46	
20:39:46 ~ 20:39:47	其實
20:39:47 ~ 20:39:48	就是
20:39:48 ~ 20:39:49	很單純的
20:39:49 ~ 20:39:50	想討論
20:39:50 ~ 20:39:50	
20:39:50 ~ 20:39:51	他講的
20:39:51 ~ 20:39:52	這個因素
20:39:52 ~ 20:39:53	那
20:39:53 ~ 20:39:54	其實
20:39:54 ~ 20:39:56	在
20:39:56 ~ 20:39:57	狼花
20:39:57 ~ 20:39:58	他們
20:39:58 ~ 20:39:59	也有
20:39:59 ~ 20:40:00	開始
20:40:00 ~ 20:40:01	在
20:40:01 ~ 20:40:02	問說
20:40:02 ~ 20:40:03	我
20:40:03 ~ 20:40:04	補充
20:40:04 ~ 20:40:05	CO2的
20:40:05 ~ 20:40:06	時機
20:40:06 ~ 20:40:07	那
20:40:07 ~ 20:40:09	照這個理論來講
20:40:09 ~ 20:40:10	應該是
20:40:10 ~ 20:40:11	夜間補充
20:40:11 ~ 20:40:12	CO2
20:40:12 ~ 20:40:13	因為他是CAM做
20:40:13 ~ 20:40:14	可是
20:40:14 ~ 20:40:15	在
20:40:15 ~ 20:40:16	荷蘭的
20:40:16 ~ 20:40:17	操作模式
20:40:17 ~ 20:40:18	根本不是這樣
20:40:18 ~ 20:40:19	荷蘭
20:40:19 ~ 20:40:20	白天
20:40:20 ~ 20:40:21	他們也一樣
20:40:21 ~ 20:40:22	有
20:40:22 ~ 20:40:23	CO2
20:40:23 ~ 20:40:24	所以
20:40:24 ~ 20:40:25	很有趣
20:40:25 ~ 20:40:26	甚至
20:40:26 ~ 20:40:27	他們
20:40:27 ~ 20:40:28	甚至
20:40:28 ~ 20:40:29	有補光
20:40:29 ~ 20:40:30	他
20:40:30 ~ 20:40:31	就有CO2了
20:40:31 ~ 20:40:32	而且
20:40:32 ~ 20:40:33	CO2的
20:40:33 ~ 20:40:34	天家
20:40:34 ~ 20:40:35	對他們來講
20:40:35 ~ 20:40:36	幾乎
20:40:36 ~ 20:40:37	就是
20:40:37 ~ 20:40:38	在荷蘭
20:40:38 ~ 20:40:39	所以
20:40:39 ~ 20:40:40	荷蘭
20:40:40 ~ 20:40:41	重
20:40:41 ~ 20:40:42	蝴蝶蘭的
20:40:42 ~ 20:40:43	模式
20:40:43 ~ 20:40:44	CO2
20:40:44 ~ 20:40:45	補充的
20:40:45 ~ 20:40:46	就是
20:40:46 ~ 20:40:47	以他們的邏輯
20:40:47 ~ 20:40:48	在補充
20:40:48 ~ 20:40:49	可是
20:40:49 ~ 20:40:50	明知道
20:40:50 ~ 20:40:51	蝴蝶蘭
20:40:51 ~ 20:40:52	是CAM嗎
20:40:52 ~ 20:40:53	那你白天補充
20:40:53 ~ 20:40:54	的意義在哪裡
20:40:54 ~ 20:40:55	所以
20:40:55 ~ 20:40:56	其實
20:40:56 ~ 20:40:57	我們也想
20:40:57 ~ 20:40:58	好好地
20:40:58 ~ 20:40:59	來探討
20:40:59 ~ 20:41:00	這一塊
20:41:00 ~ 20:41:01	所以
20:41:01 ~ 20:41:02	他的感測
20:41:02 ~ 20:41:03	就
20:41:03 ~ 20:41:04	除了
20:41:04 ~ 20:41:05	常見的
20:41:05 ~ 20:41:07	溫吃度之外
20:41:07 ~ 20:41:08	CO2
20:41:08 ~ 20:41:09	也是一個重點
20:41:09 ~ 20:41:10	然後
20:41:10 ~ 20:41:11	就是
20:41:11 ~ 20:41:12	就是
20:41:12 ~ 20:41:13	夜片
20:41:13 ~ 20:41:14	我們透過
20:41:14 ~ 20:41:15	透過
20:41:15 ~ 20:41:16	這個
20:41:16 ~ 20:41:17	夜溫
20:41:17 ~ 20:41:18	然後
20:41:18 ~ 20:41:19	要去探討
20:41:19 ~ 20:41:20	夜溫
20:41:20 ~ 20:41:21	跟
20:41:21 ~ 20:41:22	氣溫之間的關係
20:41:22 ~ 20:41:23	這個是
20:41:23 ~ 20:41:24	他的研究的
20:41:24 ~ 20:41:25	主軸了
20:41:25 ~ 20:41:26	那
20:41:26 ~ 20:41:27	昨天
20:41:27 ~ 20:41:28	江招來老師
20:41:28 ~ 20:41:29	給的一個意見
20:41:29 ~ 20:41:30	也是
20:41:30 ~ 20:41:31	很重要
20:41:31 ~ 20:41:32	很中可
20:41:32 ~ 20:41:33	他就說
20:41:33 ~ 20:41:34	你用
20:41:34 ~ 20:41:35	這個
20:41:35 ~ 20:41:36	比較
20:41:36 ~ 20:41:38	熱
20:41:38 ~ 20:41:39	感應的
20:41:39 ~ 20:41:40	這個
20:41:40 ~ 20:41:42	設備
20:41:42 ~ 20:41:43	但是他
20:41:43 ~ 20:41:44	總不準
20:41:44 ~ 20:41:45	你
20:41:45 ~ 20:41:46	你有沒有地方去
20:41:46 ~ 20:41:46	
20:41:46 ~ 20:41:48	 double check 一下
20:41:48 ~ 20:41:49	你說
20:41:49 ~ 20:41:50	夜片溫度
20:41:50 ~ 20:41:51	說
20:41:51 ~ 20:41:52	25度
20:41:52 ~ 20:41:53	實際
20:41:53 ~ 20:41:54	真的是
20:41:54 ~ 20:41:55	是這個溫度嗎
20:41:55 ~ 20:41:56	你是不是
20:41:56 ~ 20:41:57	應該要跟
20:41:57 ~ 20:41:58	比較
20:41:58 ~ 20:41:59	貴的
20:41:59 ~ 20:42:00	遺棄
20:42:00 ~ 20:42:01	或者
20:42:01 ~ 20:42:02	就是
20:42:02 ~ 20:42:03	兩夜片溫度
20:42:03 ~ 20:42:04	直接接觸式的
20:42:04 ~ 20:42:05	去
20:42:05 ~ 20:42:06	遺棄
20:42:06 ~ 20:42:07	然後
20:42:07 ~ 20:42:08	跟你的
20:42:08 ~ 20:42:09	你的遺棄
20:42:09 ~ 20:42:10	良出來的
20:42:10 ~ 20:42:11	去做一個
20:42:11 ~ 20:42:12	 double check
20:42:12 ~ 20:42:13	還包括
20:42:13 ~ 20:42:14	CO2也是一樣
20:42:14 ~ 20:42:15	目前
20:42:15 ~ 20:42:16	良設的
20:42:16 ~ 20:42:17	CO2
20:42:17 ~ 20:42:18	因為我們在
20:42:18 ~ 20:42:19	密閉的空間
20:42:19 ~ 20:42:20	然後
20:42:20 ~ 20:42:21	CO2有
20:42:21 ~ 20:42:22	高到
20:42:22 ~ 20:42:23	2700
20:42:23 ~ 20:42:24	甚至
20:42:24 ~ 20:42:25	3000
20:42:25 ~ 20:42:26	PPM以上
20:42:26 ~ 20:42:27	那
20:42:27 ~ 20:42:28	真的是
20:42:28 ~ 20:42:29	那麼高嗎
20:42:29 ~ 20:42:30	你
20:42:30 ~ 20:42:31	這個
20:42:31 ~ 20:42:32	其實
20:42:32 ~ 20:42:34	都需要 double check
20:42:34 ~ 20:42:35	好
20:42:35 ~ 20:42:36	那個
20:42:36 ~ 20:42:37	心影
20:42:37 ~ 20:42:39	有沒有什麼意見
20:42:40 ~ 20:42:41	好
20:42:41 ~ 20:42:42	好
20:42:42 ~ 20:42:43	好
20:42:43 ~ 20:42:43	
20:42:43 ~ 20:42:44	就有
20:42:44 ~ 20:42:45	幾個想法
20:42:45 ~ 20:42:46	因為我們
20:42:46 ~ 20:42:47	我們其實
20:42:47 ~ 20:42:48	想說這種
20:42:48 ~ 20:42:49	這樣的設備
20:42:49 ~ 20:42:50	你可能要
20:42:50 ~ 20:42:51	稍微想一下
20:42:51 ~ 20:42:52	說你
20:42:52 ~ 20:42:53	做這個設備
20:42:53 ~ 20:42:54	你未來
20:42:54 ~ 20:42:55	給應用場景的
20:42:55 ~ 20:42:56	個想像
20:42:56 ~ 20:42:57	因為像你的
20:42:57 ~ 20:42:58	拍的
20:42:58 ~ 20:42:59	我們
20:42:59 ~ 20:43:00	前面看的
20:43:00 ~ 20:43:01	都蠻小的
20:43:01 ~ 20:43:02	如果說
20:43:02 ~ 20:43:03	像我們在
20:43:03 ~ 20:43:04	在
20:43:04 ~ 20:43:05	那所以說
20:43:05 ~ 20:43:06	我覺得
20:43:06 ~ 20:43:07	這個
20:43:07 ~ 20:43:08	SKAL的
20:43:08 ~ 20:43:09	尺度
20:43:09 ~ 20:43:10	確實
20:43:10 ~ 20:43:11	也像
20:43:11 ~ 20:43:12	要講
20:43:12 ~ 20:43:13	這個是
20:43:13 ~ 20:43:14	你
20:43:14 ~ 20:43:15	你知道
20:43:15 ~ 20:43:16	植物
20:43:16 ~ 20:43:17	氣孔
20:43:17 ~ 20:43:18	開
20:43:18 ~ 20:43:19	那
20:43:19 ~ 20:43:20	上表皮
20:43:20 ~ 20:43:21	跟下表皮
20:43:21 ~ 20:43:22	氣孔
20:43:22 ~ 20:43:23	樹木
20:43:23 ~ 20:43:24	會一樣嗎
20:43:24 ~ 20:43:25	對
20:43:25 ~ 20:43:26	沒有
20:43:26 ~ 20:43:27	其實
20:43:27 ~ 20:43:28	Lychro
20:43:28 ~ 20:43:29	那還
20:43:29 ~ 20:43:30	機器
20:43:30 ~ 20:43:31	它
20:43:31 ~ 20:43:32	設上表皮
20:43:32 ~ 20:43:33	氣孔
20:43:33 ~ 20:43:34	然後它
20:43:34 ~ 20:43:35	把它
20:43:35 ~ 20:43:36	成語
20:43:36 ~ 20:43:37	二
20:43:37 ~ 20:43:38	當作
20:43:38 ~ 20:43:39	整個
20:43:39 ~ 20:43:40	葉片
20:43:40 ~ 20:43:41	氣孔
20:43:41 ~ 20:43:42	這個是一個
20:43:42 ~ 20:43:43	它設計的
20:43:43 ~ 20:43:44	問題
20:43:44 ~ 20:43:45	因為它
20:43:45 ~ 20:43:46	夾
20:43:46 ~ 20:43:47	這個葉片
20:43:47 ~ 20:43:48	夾住了
20:43:48 ~ 20:43:49	但是它
20:43:49 ~ 20:43:50	不知道
20:43:50 ~ 20:43:51	下表皮
20:43:51 ~ 20:43:52	氣孔的狀況
20:43:52 ~ 20:43:53	會如何
20:43:53 ~ 20:43:54	所以我覺得
20:43:54 ~ 20:43:55	這一點
20:43:55 ~ 20:43:56	它設計的
20:43:56 ~ 20:43:57	一個問題
20:43:57 ~ 20:43:58	所以它
20:43:58 ~ 20:43:59	今年又出了
20:43:59 ~ 20:44:00	新的機器
20:44:00 ~ 20:44:01	因為它們發現
20:44:01 ~ 20:44:02	有些做物
20:44:02 ~ 20:44:03	上下表皮
20:44:03 ~ 20:44:03	
20:44:03 ~ 20:44:04	差異
20:44:04 ~ 20:44:05	很大
20:44:05 ~ 20:44:06	它
20:44:06 ~ 20:44:07	成語
20:44:07 ~ 20:44:08	二
20:44:08 ~ 20:44:09	會讓它
20:44:09 ~ 20:44:10	光合作用的效率
20:44:10 ~ 20:44:11	十準
20:44:11 ~ 20:44:12	很嚴重
20:44:12 ~ 20:44:13	對
20:44:13 ~ 20:44:14	所以
20:44:14 ~ 20:44:15	我覺得
20:44:15 ~ 20:44:16	你對這個
20:44:16 ~ 20:44:17	葉溫
20:44:17 ~ 20:44:18	對植物
20:44:18 ~ 20:44:19	生理的
20:44:19 ~ 20:44:20	重要性
20:44:20 ~ 20:44:21	關聯性
20:44:21 ~ 20:44:22	可能要
20:44:22 ~ 20:44:23	再下一點
20:44:23 ~ 20:44:24	功夫
20:44:24 ~ 20:44:25	尤其在
20:44:25 ~ 20:44:26	植物的
20:44:26 ~ 20:44:27	這個
20:44:27 ~ 20:44:28	了解
20:44:28 ~ 20:44:29	葉溫
20:44:29 ~ 20:44:30	跟這個
20:44:30 ~ 20:44:31	植物生理的關係
20:44:31 ~ 20:44:32	最好是
20:44:32 ~ 20:44:33	可以
20:44:33 ~ 20:44:34	氣孔導度
20:44:34 ~ 20:44:35	的相關性
20:44:35 ~ 20:44:36	可以找到
20:44:36 ~ 20:44:37	是最好
20:44:37 ~ 20:44:38	當然
20:44:38 ~ 20:44:39	我們先是
20:44:39 ~ 20:44:40	有相關的一氣
20:44:40 ~ 20:44:41	我們到時候
20:44:41 ~ 20:44:42	可以
20:44:42 ~ 20:44:43	推給你
20:44:43 ~ 20:44:44	再去做
20:44:44 ~ 20:44:45	一個
20:44:45 ~ 20:44:46	reference
20:44:46 ~ 20:44:47	的一個
20:44:47 ~ 20:44:48	比較
20:44:48 ~ 20:44:49	對
20:44:49 ~ 20:44:50	還有
20:44:50 ~ 20:44:51	第二點是
20:44:51 ~ 20:44:52	有沒有可能
20:44:52 ~ 20:44:53	有立體的
20:44:53 ~ 20:44:55	那個
20:44:55 ~ 20:44:56	視覺
20:44:56 ~ 20:44:57	就是這樣
20:44:57 ~ 20:44:58	是不是
20:44:58 ~ 20:44:59	有機會
20:44:59 ~ 20:45:00	上下的表皮
20:45:00 ~ 20:45:01	我覺得
20:45:01 ~ 20:45:02	因為
20:45:02 ~ 20:45:03	我想要運用
20:45:03 ~ 20:45:04	機器的
20:45:04 ~ 20:45:06	耳眼
20:45:06 ~ 20:45:07	會
20:45:07 ~ 20:45:08	蠻想要知道
20:45:08 ~ 20:45:09	這個
20:45:09 ~ 20:45:10	情況
20:45:10 ~ 20:45:11	對
20:45:11 ~ 20:45:11	
20:45:11 ~ 20:45:12	手持
20:45:12 ~ 20:45:13	你手持
20:45:13 ~ 20:45:14	移動
20:45:14 ~ 20:45:15	就會有
20:45:15 ~ 20:45:16	角度
20:45:16 ~ 20:45:17	有
20:45:17 ~ 20:45:18	有
20:45:18 ~ 20:45:19	比較
20:45:19 ~ 20:45:20	三D
20:45:20 ~ 20:45:21	2.5D的
20:45:21 ~ 20:45:22	機會
20:45:22 ~ 20:45:23	我相信
20:45:23 ~ 20:45:24	應該有
20:45:24 ~ 20:45:25	我覺得
20:45:25 ~ 20:45:26	這一點
20:45:26 ~ 20:45:27	就是
20:45:27 ~ 20:45:28	這個套設備的
20:45:28 ~ 20:45:29	使用場景的
20:45:29 ~ 20:45:30	想像
20:45:30 ~ 20:45:31	我覺得蠻重要的
20:45:31 ~ 20:45:32	就是你
20:45:32 ~ 20:45:33	到底想要
20:45:33 ~ 20:45:34	讓大家
20:45:34 ~ 20:45:35	怎麼去
20:45:35 ~ 20:45:36	用你的
20:45:36 ~ 20:45:37	這一台的
20:45:37 ~ 20:45:38	機器
20:45:38 ~ 20:45:39	我覺得
20:45:39 ~ 20:45:40	這個是
20:45:40 ~ 20:45:41	蠻值得
20:45:41 ~ 20:45:42	去思考的一點
20:45:42 ~ 20:45:43	然後
20:45:43 ~ 20:45:44	就會
20:45:44 ~ 20:45:45	跟
20:45:45 ~ 20:45:46	又會回到
20:45:46 ~ 20:45:47	我相信
20:45:47 ~ 20:45:48	各位老師
20:45:48 ~ 20:45:49	一直提到的過程
20:45:49 ~ 20:45:50	你
20:45:50 ~ 20:45:51	想要解
20:45:51 ~ 20:45:52	什麼
20:45:52 ~ 20:45:53	問題
20:45:53 ~ 20:45:54	是什麼問題
20:45:54 ~ 20:45:55	是你最想要解決的
20:45:55 ~ 20:45:56	這樣子
20:45:56 ~ 20:45:57	對
20:45:57 ~ 20:45:58	這是
20:45:58 ~ 20:45:59	大概是我的
20:45:59 ~ 20:46:00	建議
20:46:00 ~ 20:46:01	當然
20:46:01 ~ 20:46:01	
20:46:01 ~ 20:46:02	跟現有
20:46:02 ~ 20:46:03	設備
20:46:03 ~ 20:46:04	要比較
20:46:04 ~ 20:46:05	因為居然
20:46:05 ~ 20:46:06	製作設備
20:46:06 ~ 20:46:07	當然要
20:46:07 ~ 20:46:08	跟現有的設備
20:46:08 ~ 20:46:09	去做
20:46:09 ~ 20:46:10	一些
20:46:10 ~ 20:46:11	Refrands的
20:46:11 ~ 20:46:12	比較
20:46:12 ~ 20:46:13	好
20:46:13 ~ 20:46:14	謝謝
20:46:14 ~ 20:46:15	這是我的建議
20:46:15 ~ 20:46:16	好
20:46:16 ~ 20:46:17	老師
20:46:17 ~ 20:46:18	那
20:46:18 ~ 20:46:19	我就講
20:46:19 ~ 20:46:20	我的建議
20:46:20 ~ 20:46:21	我可以
20:46:21 ~ 20:46:22	上面建議
20:46:22 ~ 20:46:23	好
20:46:23 ~ 20:46:24	所以
20:46:24 ~ 20:46:25	一點也
20:46:25 ~ 20:46:26	進不下來
20:46:26 ~ 20:46:27	第一個就是
20:46:27 ~ 20:46:28	我覺得
20:46:28 ~ 20:46:29	剛剛
20:46:29 ~ 20:46:30	在
20:46:30 ~ 20:46:30	
20:46:30 ~ 20:46:31	我覺得
20:46:31 ~ 20:46:32	蠻認同的
20:46:32 ~ 20:46:33	就是你
20:46:33 ~ 20:46:34	要
20:46:34 ~ 20:46:35	從方向的
20:46:35 ~ 20:46:36	探索
20:46:36 ~ 20:46:37	慢用到
20:46:37 ~ 20:46:38	聚焦
20:46:38 ~ 20:46:39	但是
20:46:39 ~ 20:46:40	因為
20:46:40 ~ 20:46:41	這資格
20:46:41 ~ 20:46:42	考
20:46:42 ~ 20:46:43	會前會
20:46:43 ~ 20:46:44	我資格考
20:46:44 ~ 20:46:45	也都
20:46:45 ~ 20:46:46	不一定要
20:46:46 ~ 20:46:47	是整個論文題目
20:46:47 ~ 20:46:48	那是方向探索
20:46:48 ~ 20:46:49	那我
20:46:49 ~ 20:46:50	給你
20:46:50 ~ 20:46:51	具體的建議
20:46:51 ~ 20:46:52	剛剛
20:46:52 ~ 20:46:53	你
20:46:53 ~ 20:46:54	要解決什麼
20:46:54 ~ 20:46:55	問題
20:46:55 ~ 20:46:56	那第二個
20:46:56 ~ 20:46:57	來講
20:46:57 ~ 20:46:58	的話
20:46:58 ~ 20:46:59	你可以
20:46:59 ~ 20:47:00	做一個關鍵詞的
20:47:00 ~ 20:47:01	排序
20:47:01 ~ 20:47:02	你的
20:47:02 ~ 20:47:03	剛剛報告
20:47:03 ~ 20:47:04	當然
20:47:04 ~ 20:47:05	中也好
20:47:05 ~ 20:47:06	你的
20:47:06 ~ 20:47:07	方向的
20:47:07 ~ 20:47:08	題目
20:47:08 ~ 20:47:09	很長
20:47:09 ~ 20:47:10	你有很多關鍵詞
20:47:10 ~ 20:47:11	你
20:47:11 ~ 20:47:12	把他按照
20:47:12 ~ 20:47:13	你最想解決的
20:47:13 ~ 20:47:14	問題
20:47:14 ~ 20:47:15	那個
20:47:15 ~ 20:47:16	先或是
20:47:16 ~ 20:47:17	排序
20:47:17 ~ 20:47:18	一下
20:47:18 ~ 20:47:19	然後
20:47:19 ~ 20:47:20	第三個建議
20:47:20 ~ 20:47:21	你一定要
20:47:21 ~ 20:47:22	看起來
20:47:22 ~ 20:47:23	會是
20:47:23 ~ 20:47:24	這個
20:47:24 ~ 20:47:25	挪背
20:47:25 ~ 20:47:26	或是這個
20:47:26 ~ 20:47:27	什麼
20:47:27 ~ 20:47:28	Color
20:47:28 ~ 20:47:29	這個
20:47:29 ~ 20:47:30	Grush
20:47:30 ~ 20:47:31	我認為
20:47:31 ~ 20:47:32	好像聽起來
20:47:32 ~ 20:47:33	是一個
20:47:33 ~ 20:47:34	叫Lyco
20:47:34 ~ 20:47:35	的設備
20:47:35 ~ 20:47:36	我不想
20:47:36 ~ 20:47:37	那個設備
20:47:37 ~ 20:47:38	但
20:47:38 ~ 20:47:39	應該就找Lyco
20:47:39 ~ 20:47:40	那個設備
20:47:40 ~ 20:47:41	的
20:47:41 ~ 20:47:42	文現
20:47:42 ~ 20:47:43	因為
20:47:43 ~ 20:47:44	他是
20:47:44 ~ 20:47:45	你的
20:47:45 ~ 20:47:46	Benchmark
20:47:46 ~ 20:47:47	不管
20:47:47 ~ 20:47:48	他是專利
20:47:48 ~ 20:47:49	也好
20:47:49 ~ 20:47:50	還是
20:47:50 ~ 20:47:51	在
20:47:51 ~ 20:47:52	感測
20:47:52 ~ 20:47:53	應用的
20:47:53 ~ 20:47:54	技術
20:47:54 ~ 20:47:55	上面
20:47:55 ~ 20:47:56	有幾個
20:47:56 ~ 20:47:57	經驗
20:47:57 ~ 20:47:58	或者是
20:47:58 ~ 20:47:59	這個
20:47:59 ~ 20:48:01	想法跟你分享一下
20:48:01 ~ 20:48:02	你
20:48:02 ~ 20:48:03	現在用的
20:48:03 ~ 20:48:04	Cameras
20:48:04 ~ 20:48:05	CCD
20:48:05 ~ 20:48:06	還是
20:48:06 ~ 20:48:07	CMOS
20:48:07 ~ 20:48:09	你要留意
20:48:09 ~ 20:48:10	一件事情
20:48:10 ~ 20:48:11	他隨著時間
20:48:11 ~ 20:48:12	使用的時候
20:48:12 ~ 20:48:13	他會
20:48:13 ~ 20:48:14	會
20:48:14 ~ 20:48:15	Gift
20:48:15 ~ 20:48:16	Sigeno
20:48:16 ~ 20:48:17	當然
20:48:17 ~ 20:48:18	他有可能
20:48:18 ~ 20:48:19	有一些
20:48:19 ~ 20:48:20	可能
20:48:20 ~ 20:48:22	但是你要
20:48:22 ~ 20:48:22	
20:48:22 ~ 20:48:23	他會
20:48:23 ~ 20:48:25	會
20:48:25 ~ 20:48:26	Gift
20:48:26 ~ 20:48:26	
20:48:26 ~ 20:48:27	兩日以下
20:48:27 ~ 20:48:28	你把
20:48:28 ~ 20:48:29	你
20:48:29 ~ 20:48:29	
20:48:29 ~ 20:48:30	他當成
20:48:30 ~ 20:48:31	是
20:48:31 ~ 20:48:32	一個
20:48:32 ~ 20:48:33	生
20:48:33 ~ 20:48:34	Tem
20:48:34 ~ 20:48:35	我們叫
20:48:35 ~ 20:48:35	
20:48:35 ~ 20:48:35	
20:48:35 ~ 20:48:36	用
20:48:36 ~ 20:48:37	你把
20:48:37 ~ 20:48:38	當的
20:48:38 ~ 20:48:39	溫度
20:48:39 ~ 20:48:40	記在
20:48:40 ~ 20:48:40	
20:48:40 ~ 20:48:41	所以
20:48:41 ~ 20:48:42	可能
20:48:42 ~ 20:48:43	要注意
20:48:43 ~ 20:48:44	那
20:48:44 ~ 20:48:45	第二件事情
20:48:45 ~ 20:48:46	我
20:48:46 ~ 20:48:46	
20:48:46 ~ 20:48:47	認同
20:48:47 ~ 20:48:47	
20:48:47 ~ 20:48:48	講
20:48:48 ~ 20:48:49	剛剛
20:48:49 ~ 20:48:50	黃金
20:48:50 ~ 20:48:51	標準
20:48:51 ~ 20:48:51	
20:48:51 ~ 20:48:52	這是關鍵
20:48:52 ~ 20:48:52	
20:48:52 ~ 20:48:52	
20:48:52 ~ 20:48:53	第二個
20:48:53 ~ 20:48:54	建議
20:48:54 ~ 20:48:55	第一個
20:48:55 ~ 20:48:56	是
20:48:56 ~ 20:48:57	你要留意
20:48:57 ~ 20:48:58	長時間
20:48:58 ~ 20:48:59	的
20:48:59 ~ 20:49:00	光學
20:49:00 ~ 20:49:00	
20:49:00 ~ 20:49:01	會
20:49:01 ~ 20:49:02	Gift
20:49:02 ~ 20:49:03	一般
20:49:03 ~ 20:49:04	會
20:49:04 ~ 20:49:05	Gift
20:49:05 ~ 20:49:06	上一張
20:49:06 ~ 20:49:07	可以嗎
20:49:07 ~ 20:49:08	第二個
20:49:08 ~ 20:49:09	就是
20:49:09 ~ 20:49:10	你要做
20:49:10 ~ 20:49:11	校正
20:49:11 ~ 20:49:12	第三個
20:49:12 ~ 20:49:13	件事情
20:49:13 ~ 20:49:14	我覺得
20:49:14 ~ 20:49:15	比較重要
20:49:15 ~ 20:49:16	如果
20:49:16 ~ 20:49:17	你有
20:49:17 ~ 20:49:18	什麼
20:49:18 ~ 20:49:19	還有
20:49:19 ~ 20:49:20	什麼
20:49:20 ~ 20:49:21	什麼
20:49:21 ~ 20:49:23	什麼
20:49:23 ~ 20:49:24	什麼
20:49:24 ~ 20:49:26	什麼
20:49:26 ~ 20:49:27	什麼
20:49:27 ~ 20:49:28	什麼
20:49:28 ~ 20:49:30	什麼
20:49:30 ~ 20:49:31	什麼
20:49:31 ~ 20:49:32	什麼
20:49:32 ~ 20:49:33	什麼
20:49:33 ~ 20:49:34	什麼
20:49:34 ~ 20:49:35	什麼
20:49:35 ~ 20:49:36	什麼
20:49:36 ~ 20:49:37	什麼
20:49:37 ~ 20:49:38	什麼
20:49:38 ~ 20:49:40	什麼
20:49:40 ~ 20:49:41	什麼
20:49:41 ~ 20:49:42	什麼
20:49:42 ~ 20:49:43	什麼
20:49:45 ~ 20:49:46	什麼
20:49:46 ~ 20:49:48	這個控制的
20:49:48 ~ 20:49:50	你會做到控制的嗎
20:49:50 ~ 20:49:51	還是會做到
20:49:51 ~ 20:49:53	兩側還是什麼之類的嗎
20:49:53 ~ 20:49:53	
20:49:53 ~ 20:49:54	因為這牽到後面
20:49:54 ~ 20:49:55	就是
20:49:55 ~ 20:49:56	就是
20:49:56 ~ 20:49:58	目前先以一個官策
20:49:58 ~ 20:50:00	就是兩側這邊
20:50:00 ~ 20:50:01	會
20:50:01 ~ 20:50:03	那沒有關係
20:50:03 ~ 20:50:03	你就是先
20:50:03 ~ 20:50:04	大概
20:50:04 ~ 20:50:05	我想
20:50:05 ~ 20:50:06	觀念技術先提那三點
20:50:06 ~ 20:50:07	給你去思考看
20:50:07 ~ 20:50:08	第一個是
20:50:08 ~ 20:50:10	留意嚐子先觀察
20:50:10 ~ 20:50:11	的時候
20:50:11 ~ 20:50:12	你的
20:50:12 ~ 20:50:13	你是會各地丟
20:50:13 ~ 20:50:14	第二個就是
20:50:14 ~ 20:50:15	你要做教證
20:50:15 ~ 20:50:16	注意看你的
20:50:16 ~ 20:50:17	Retribution
20:50:17 ~ 20:50:18	夠不夠達到你要的
20:50:18 ~ 20:50:19	或進度
20:50:19 ~ 20:50:21	或專業度達不到你要的
20:50:21 ~ 20:50:22	因為你後面要
20:50:22 ~ 20:50:23	把別人身理的
20:50:23 ~ 20:50:25	指標的一個轉換
20:50:25 ~ 20:50:26	然後第三部分
20:50:26 ~ 20:50:27	也給你三個建議
20:50:27 ~ 20:50:29	就是你資格考的部分
20:50:29 ~ 20:50:31	我覺得你資格考
20:50:31 ~ 20:50:33	的科目都選得滿好的
20:50:33 ~ 20:50:35	你需要這個考
20:50:35 ~ 20:50:37	那一張好不好
20:50:37 ~ 20:50:38	因為畢竟我們是
20:50:38 ~ 20:50:39	博士
20:50:39 ~ 20:50:41	博士論文嘛
20:50:41 ~ 20:50:43	你目標是哪一個博士論文
20:50:43 ~ 20:50:44	那我就覺得說
20:50:44 ~ 20:50:46	你只要想一件事情
20:50:46 ~ 20:50:47	才會來想
20:50:47 ~ 20:50:48	假如有一天
20:50:48 ~ 20:50:50	你要去上一門課
20:50:50 ~ 20:50:51	你要去教人家
20:50:51 ~ 20:50:52	一門課
20:50:52 ~ 20:50:53	你最想要教哪一門
20:50:53 ~ 20:50:54	而我不是說
20:50:54 ~ 20:50:55	你要教方老師那一門
20:50:55 ~ 20:50:56	你想要教
20:50:56 ~ 20:50:57	其他人也可以
20:50:57 ~ 20:50:58	但這個是
20:50:58 ~ 20:51:00	你要設想的
20:51:00 ~ 20:51:02	因為博士學位的訓練
